subject,onset,valence,event_type
sub-cs41,0.0,neutral,event_boundary
sub-cs41,4.72,neutral,event_boundary
sub-cs41,15.0,neutral,event_boundary
sub-cs41,16.72,neutral,event_boundary
sub-cs41,19.08,neutral,event_boundary
sub-cs41,21.72,neutral,event_boundary
sub-cs41,25.08,neutral,event_boundary
sub-cs41,27.08,neutral,event_boundary
sub-cs41,37.64,neutral,event_boundary
sub-cs41,46.16,neutral,event_boundary
sub-cs41,66.28,neutral,event_boundary
sub-cs41,66.8,neutral,event_boundary
sub-cs41,90.16,neutral,event_boundary
sub-cs41,92.72,neutral,event_boundary
sub-cs41,94.88,neutral,event_boundary
sub-cs41,99.32,neutral,event_boundary
sub-cs41,103.64,neutral,event_boundary
sub-cs41,108.28,neutral,event_boundary
sub-cs41,113.44,neutral,event_boundary
sub-cs41,115.0,neutral,event_boundary
sub-cs41,117.96,neutral,event_boundary
sub-cs41,120.0,neutral,event_boundary
sub-cs41,121.88,neutral,event_boundary
sub-cs41,126.52,neutral,event_boundary
sub-cs41,129.2,neutral,event_boundary
sub-cs41,137.56,neutral,event_boundary
sub-cs41,140.36,neutral,event_boundary
sub-cs41,143.36,neutral,event_boundary
sub-cs41,145.24,neutral,event_boundary
sub-cs41,147.88,neutral,event_boundary
sub-cs41,149.4,neutral,event_boundary
sub-cs41,150.76,neutral,event_boundary
sub-cs41,153.4,neutral,event_boundary
sub-cs41,153.92,neutral,event_boundary
sub-cs41,159.08,neutral,event_boundary
sub-cs41,161.16,neutral,event_boundary
sub-cs41,163.08,neutral,event_boundary
sub-cs41,167.28,neutral,event_boundary
sub-cs41,169.04,neutral,event_boundary
sub-cs41,170.68,neutral,event_boundary
sub-cs41,171.84,neutral,event_boundary
sub-cs41,173.48,neutral,event_boundary
sub-cs41,184.92,neutral,event_boundary
sub-cs41,211.6,neutral,event_boundary
sub-cs41,217.48,neutral,event_boundary
sub-cs41,254.24,neutral,event_boundary
sub-cs41,256.12,neutral,event_boundary
sub-cs41,261.6,neutral,event_boundary
sub-cs41,264.84,neutral,event_boundary
sub-cs41,266.68,neutral,event_boundary
sub-cs41,269.24,neutral,event_boundary
sub-cs41,273.04,neutral,event_boundary
sub-cs41,277.28,neutral,event_boundary
sub-cs41,281.28,neutral,event_boundary
sub-cs41,284.56,neutral,event_boundary
sub-cs41,288.76,neutral,event_boundary
sub-cs41,291.44,neutral,event_boundary
sub-cs41,307.88,neutral,event_boundary
sub-cs41,314.48,neutral,event_boundary
sub-cs41,328.52,neutral,event_boundary
sub-cs41,340.76,neutral,event_boundary
sub-cs41,346.2,neutral,event_boundary
sub-cs41,350.0,neutral,event_boundary
sub-cs41,357.84,neutral,event_boundary
sub-cs41,360.0,neutral,event_boundary
sub-cs41,362.56,neutral,event_boundary
sub-cs41,364.92,neutral,event_boundary
sub-cs41,367.76,neutral,event_boundary
sub-cs41,369.44,neutral,event_boundary
sub-cs41,371.64,neutral,event_boundary
sub-cs41,389.64,neutral,event_boundary
sub-cs41,407.88,neutral,event_boundary
sub-cs41,409.72,neutral,event_boundary
sub-cs41,419.04,neutral,event_boundary
sub-cs41,420.24,neutral,event_boundary
sub-cs41,424.36,neutral,event_boundary
sub-cs41,427.64,neutral,event_boundary
sub-cs41,428.72,neutral,event_boundary
sub-cs41,431.52,neutral,event_boundary
sub-cs41,433.48,neutral,event_boundary
sub-cs41,435.0,neutral,event_boundary
sub-cs41,437.52,neutral,event_boundary
sub-cs41,439.6,neutral,event_boundary
sub-cs41,442.28,neutral,event_boundary
sub-cs41,445.24,neutral,event_boundary
sub-cs41,450.04,neutral,event_boundary
sub-cs41,451.4,neutral,event_boundary
sub-cs41,453.04,neutral,event_boundary
sub-cs41,453.88,neutral,event_boundary
sub-cs41,456.44,neutral,event_boundary
sub-cs41,456.96,neutral,event_boundary
sub-cs41,459.32,neutral,event_boundary
sub-cs41,475.44,neutral,event_boundary
sub-cs42,0.0,neutral,event_boundary
sub-cs42,4.72,neutral,event_boundary
sub-cs42,15.0,neutral,event_boundary
sub-cs42,16.72,neutral,event_boundary
sub-cs42,19.08,neutral,event_boundary
sub-cs42,21.72,neutral,event_boundary
sub-cs42,25.08,neutral,event_boundary
sub-cs42,27.08,neutral,event_boundary
sub-cs42,37.64,neutral,event_boundary
sub-cs42,46.16,neutral,event_boundary
sub-cs42,66.28,neutral,event_boundary
sub-cs42,66.8,neutral,event_boundary
sub-cs42,90.16,neutral,event_boundary
sub-cs42,92.72,neutral,event_boundary
sub-cs42,94.88,neutral,event_boundary
sub-cs42,99.32,neutral,event_boundary
sub-cs42,103.64,neutral,event_boundary
sub-cs42,108.28,neutral,event_boundary
sub-cs42,113.44,neutral,event_boundary
sub-cs42,115.0,neutral,event_boundary
sub-cs42,117.96,neutral,event_boundary
sub-cs42,120.0,neutral,event_boundary
sub-cs42,121.88,neutral,event_boundary
sub-cs42,126.52,neutral,event_boundary
sub-cs42,129.2,neutral,event_boundary
sub-cs42,137.56,neutral,event_boundary
sub-cs42,140.36,neutral,event_boundary
sub-cs42,143.36,neutral,event_boundary
sub-cs42,145.24,neutral,event_boundary
sub-cs42,147.88,neutral,event_boundary
sub-cs42,149.4,neutral,event_boundary
sub-cs42,150.76,neutral,event_boundary
sub-cs42,153.4,neutral,event_boundary
sub-cs42,153.92,neutral,event_boundary
sub-cs42,159.08,neutral,event_boundary
sub-cs42,161.16,neutral,event_boundary
sub-cs42,163.08,neutral,event_boundary
sub-cs42,167.28,neutral,event_boundary
sub-cs42,169.04,neutral,event_boundary
sub-cs42,170.68,neutral,event_boundary
sub-cs42,171.84,neutral,event_boundary
sub-cs42,173.48,neutral,event_boundary
sub-cs42,184.92,neutral,event_boundary
sub-cs42,211.6,neutral,event_boundary
sub-cs42,217.48,neutral,event_boundary
sub-cs42,254.24,neutral,event_boundary
sub-cs42,256.12,neutral,event_boundary
sub-cs42,261.6,neutral,event_boundary
sub-cs42,264.84,neutral,event_boundary
