channel,phase,n_events,n_spikes_total,baseline_rate_mean_hz,response_rate_mean_hz,delta_rate_mean_hz,delta_rate_median_hz,wilcoxon_p,class
1,rating,56,235,0.10714285714285714,0.21428571428571427,0.10714285714285714,0.0,0.19802059056814203,neutral
1,free,88,235,0.1590909090909091,0.22727272727272727,0.06818181818181818,0.0,0.41294429882753614,neutral
1,all,144,235,0.1388888888888889,0.2222222222222222,0.08333333333333333,0.0,0.16443597704494695,neutral
2,rating,56,805,0.6785714285714286,0.4642857142857143,-0.21428571428571427,0.0,0.1975611802631354,neutral
2,free,88,805,0.45454545454545453,0.5568181818181818,0.10227272727272728,0.0,0.4635072649230244,neutral
2,all,144,805,0.5416666666666666,0.5208333333333334,-0.020833333333333332,0.0,0.7709813144996072,neutral
3,rating,56,23,0.0,0.0,0.0,0.0,1.0,neutral
3,free,88,23,0.022727272727272728,0.011363636363636364,-0.011363636363636364,0.0,0.6547208460185769,neutral
3,all,144,23,0.013888888888888888,0.006944444444444444,-0.006944444444444444,0.0,0.6547208460185769,neutral
4,rating,56,10,0.0,0.0,0.0,0.0,1.0,neutral
4,free,88,10,0.022727272727272728,0.011363636363636364,-0.011363636363636364,0.0,0.6547208460185769,neutral
4,all,144,10,0.013888888888888888,0.006944444444444444,-0.006944444444444444,0.0,0.6547208460185769,neutral
5,rating,56,103,0.0,0.05357142857142857,0.05357142857142857,0.0,0.08326451666355039,neutral
5,free,88,103,0.1590909090909091,0.07954545454545454,-0.07954545454545454,0.0,0.1564344013335044,neutral
5,all,144,103,0.09722222222222222,0.06944444444444445,-0.027777777777777776,0.0,0.36503027183830405,neutral
6,rating,56,2539,1.75,1.8392857142857142,0.08928571428571429,0.5,0.5801952684399405,neutral
6,free,88,2539,1.7727272727272727,1.9090909090909092,0.13636363636363635,0.5,0.4763222782154788,neutral
6,all,144,2539,1.7638888888888888,1.8819444444444444,0.11805555555555555,0.5,0.36795952086890304,neutral
7,rating,56,169,0.17857142857142858,0.14285714285714285,-0.03571428571428571,0.0,0.5413007280472231,neutral
7,free,88,169,0.06818181818181818,0.10227272727272728,0.03409090909090909,0.0,0.6790056128095342,neutral
7,all,144,169,0.1111111111111111,0.11805555555555555,0.006944444444444444,0.0,0.8371840916024397,neutral
8,rating,56,4,0.0,0.0,0.0,0.0,1.0,neutral
8,free,88,4,0.0,0.0,0.0,0.0,1.0,neutral
8,all,144,4,0.0,0.0,0.0,0.0,1.0,neutral
9,rating,56,7,0.0,0.0,0.0,0.0,1.0,neutral
9,free,88,7,0.0,0.0,0.0,0.0,1.0,neutral
9,all,144,7,0.0,0.0,0.0,0.0,1.0,neutral
10,rating,56,1937,1.5357142857142858,1.5892857142857142,0.05357142857142857,0.0,0.9879200034420267,neutral
10,free,88,1937,1.2272727272727273,1.2386363636363635,0.011363636363636364,0.0,0.9243967958039176,neutral
10,all,144,1937,1.3472222222222223,1.375,0.027777777777777776,0.0,0.9465635792246905,neutral
11,rating,56,1206,1.2142857142857142,1.5,0.2857142857142857,1.0,0.14993958655894668,neutral
11,free,88,1206,0.6818181818181818,0.6818181818181818,0.0,0.0,0.8706981538926696,neutral
11,all,144,1206,0.8888888888888888,1.0,0.1111111111111111,0.0,0.3833370653020711,neutral
12,rating,56,19,0.0,0.0,0.0,0.0,1.0,neutral
12,free,88,19,0.0,0.022727272727272728,0.022727272727272728,0.0,0.15729920705028505,neutral
12,all,144,19,0.0,0.013888888888888888,0.013888888888888888,0.0,0.15729920705028505,neutral
13,rating,56,27,0.03571428571428571,0.03571428571428571,0.0,0.0,1.0,neutral
13,free,88,27,0.06818181818181818,0.011363636363636364,-0.056818181818181816,0.0,0.1305700181157362,neutral
13,all,144,27,0.05555555555555555,0.020833333333333332,-0.034722222222222224,0.0,0.16532715423132338,neutral
14,rating,56,1156,1.0357142857142858,0.9464285714285714,-0.08928571428571429,0.0,0.6058833211246876,neutral
14,free,88,1156,0.7954545454545454,0.9318181818181818,0.13636363636363635,0.0,0.3193604949928661,neutral
14,all,144,1156,0.8888888888888888,0.9375,0.04861111111111111,0.0,0.7976729024754498,neutral
15,rating,56,1388,1.0714285714285714,0.8392857142857143,-0.23214285714285715,0.0,0.359614651565927,neutral
15,free,88,1388,1.2954545454545454,1.4318181818181819,0.13636363636363635,0.0,0.62844770690235,neutral
15,all,144,1388,1.2083333333333333,1.2013888888888888,-0.006944444444444444,0.0,0.8691562749896223,neutral
16,rating,56,4,0.0,0.0,0.0,0.0,1.0,neutral
16,free,88,4,0.0,0.011363636363636364,0.011363636363636364,0.0,0.31731050786291415,neutral
16,all,144,4,0.0,0.006944444444444444,0.006944444444444444,0.0,0.31731050786291415,neutral
17,rating,56,5013,3.9285714285714284,4.214285714285714,0.2857142857142857,1.0,0.2041677148623462,neutral
17,free,88,5013,3.659090909090909,3.9545454545454546,0.29545454545454547,0.0,0.28759156258685736,neutral
17,all,144,5013,3.763888888888889,4.055555555555555,0.2916666666666667,0.0,0.09571295318495246,neutral
18,rating,56,921,0.39285714285714285,0.8214285714285714,0.42857142857142855,0.0,0.016158452870318654,neutral
18,free,88,921,0.75,0.7386363636363636,-0.011363636363636364,0.0,0.7441036853252296,neutral
18,all,144,921,0.6111111111111112,0.7708333333333334,0.1597222222222222,0.0,0.10289768164810478,neutral
19,rating,56,584,0.42857142857142855,0.42857142857142855,0.0,0.0,0.6171824741996825,neutral
