event_id,phase,trial_in_phase,onset_sample,onset_sec,trigger_value,fs,group_gap_sec,rating_c1,rating_c2,rating_c3,rating_c4,rating_c5,rating_c6,free_c1,free_c2,free_c3,free_c4,free_c5,free_c6,free_c7,free_c8,free_c9,free_c10,free_c11,free_c12
1,rating,1,21603,1.08015,65535,20000.0,0.31100000000000005,1.0,40.0,0.0,0.0,3.0,10.0,,,,,,,,,,,,
2,rating,2,274854,13.7427,65535,20000.0,0.31100000000000005,2.0,41.0,0.0,0.0,3.0,11.0,,,,,,,,,,,,
3,rating,3,536058,26.8029,65535,20000.0,0.31100000000000005,3.0,18.0,0.0,0.0,1.0,18.0,,,,,,,,,,,,
4,rating,4,740425,37.02125,65535,20000.0,0.31100000000000005,4.0,36.0,0.0,0.0,3.0,6.0,,,,,,,,,,,,
5,rating,5,952231,47.61155,65535,20000.0,0.31100000000000005,5.0,12.0,0.0,0.0,1.0,12.0,,,,,,,,,,,,
6,rating,6,1182172,59.1086,65535,20000.0,0.31100000000000005,6.0,56.0,4.0,0.0,4.0,14.0,,,,,,,,,,,,
7,rating,7,1362810,68.1405,65535,20000.0,0.31100000000000005,7.0,31.0,2.0,2.0,3.0,1.0,,,,,,,,,,,,
8,rating,8,1588055,79.40275,65535,20000.0,0.31100000000000005,8.0,26.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,
9,rating,9,1798875,89.94375,65535,20000.0,0.31100000000000005,9.0,14.0,3.0,3.0,1.0,14.0,,,,,,,,,,,,
10,rating,10,1995828,99.7914,65535,20000.0,0.31100000000000005,10.0,32.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,
11,rating,11,2178946,108.9473,65535,20000.0,0.31100000000000005,11.0,2.0,3.0,3.0,1.0,2.0,,,,,,,,,,,,
12,rating,12,2339085,116.95425,65535,20000.0,0.31100000000000005,12.0,6.0,2.0,2.0,1.0,6.0,,,,,,,,,,,,
13,rating,13,2522623,126.13115,65535,20000.0,0.31100000000000005,13.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,
14,rating,14,2717508,135.8754,65535,20000.0,0.31100000000000005,14.0,42.0,1.0,1.0,3.0,12.0,,,,,,,,,,,,
15,rating,15,2898783,144.93915,65535,20000.0,0.31100000000000005,15.0,52.0,1.0,1.0,4.0,10.0,,,,,,,,,,,,
16,rating,16,3099662,154.9831,65535,20000.0,0.31100000000000005,16.0,15.0,3.0,3.0,1.0,15.0,,,,,,,,,,,,
17,rating,17,3287921,164.39605,65535,20000.0,0.31100000000000005,17.0,50.0,5.0,5.0,4.0,8.0,,,,,,,,,,,,
18,rating,18,3447946,172.3973,65535,20000.0,0.31100000000000005,18.0,37.0,3.0,3.0,3.0,7.0,,,,,,,,,,,,
19,rating,19,3649637,182.48185,65535,20000.0,0.31100000000000005,19.0,13.0,4.0,4.0,1.0,13.0,,,,,,,,,,,,
20,rating,20,3891522,194.5761,65535,20000.0,0.31100000000000005,20.0,16.0,4.0,4.0,1.0,16.0,,,,,,,,,,,,
21,rating,21,4106087,205.30435,65535,20000.0,0.31100000000000005,21.0,29.0,1.0,1.0,2.0,5.0,,,,,,,,,,,,
22,rating,22,4325554,216.2777,65535,20000.0,0.31100000000000005,22.0,48.0,3.0,3.0,4.0,6.0,,,,,,,,,,,,
23,rating,23,4516058,225.8029,65535,20000.0,0.31100000000000005,23.0,23.0,3.0,3.0,1.0,23.0,,,,,,,,,,,,
24,rating,24,4687075,234.35375,65535,20000.0,0.31100000000000005,24.0,9.0,4.0,4.0,1.0,9.0,,,,,,,,,,,,
25,rating,25,4863990,243.1995,65535,20000.0,0.31100000000000005,25.0,38.0,4.0,4.0,3.0,8.0,,,,,,,,,,,,
26,rating,26,5088488,254.4244,65535,20000.0,0.31100000000000005,26.0,53.0,3.0,3.0,4.0,11.0,,,,,,,,,,,,
27,rating,27,5264388,263.2194,65535,20000.0,0.31100000000000005,27.0,25.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,
28,rating,28,5424573,271.22865,65535,20000.0,0.31100000000000005,28.0,28.0,1.0,1.0,2.0,4.0,,,,,,,,,,,,
29,rating,29,5613910,280.6955,65535,20000.0,0.31100000000000005,29.0,11.0,2.0,2.0,1.0,11.0,,,,,,,,,,,,
30,rating,30,5783387,289.16935,65535,20000.0,0.31100000000000005,30.0,30.0,1.0,1.0,2.0,6.0,,,,,,,,,,,,
31,rating,31,5945768,297.2884,65535,20000.0,0.31100000000000005,31.0,17.0,5.0,5.0,1.0,17.0,,,,,,,,,,,,
32,rating,32,6142357,307.11785,65535,20000.0,0.31100000000000005,32.0,46.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,
33,rating,33,6336242,316.8121,65535,20000.0,0.31100000000000005,33.0,22.0,3.0,3.0,1.0,22.0,,,,,,,,,,,,
34,rating,34,6516391,325.81955,65535,20000.0,0.31100000000000005,34.0,51.0,2.0,2.0,4.0,9.0,,,,,,,,,,,,
35,rating,35,6709203,335.46015,65535,20000.0,0.31100000000000005,35.0,10.0,4.0,4.0,1.0,10.0,,,,,,,,,,,,
36,rating,36,6882224,344.1112,65535,20000.0,0.31100000000000005,36.0,47.0,4.0,4.0,4.0,5.0,,,,,,,,,,,,
37,rating,37,7091792,354.5896,65535,20000.0,0.31100000000000005,37.0,5.0,3.0,3.0,1.0,5.0,,,,,,,,,,,,
38,rating,38,7264185,363.20925,65535,20000.0,0.31100000000000005,38.0,35.0,3.0,3.0,3.0,5.0,,,,,,,,,,,,
39,rating,39,7447334,372.3667,65535,20000.0,0.31100000000000005,39.0,4.0,3.0,3.0,1.0,4.0,,,,,,,,,,,,
40,rating,40,7644155,382.20775,65535,20000.0,0.31100000000000005,40.0,54.0,3.0,3.0,4.0,12.0,,,,,,,,,,,,
41,rating,41,7805330,390.2665,65535,20000.0,0.31100000000000005,41.0,8.0,5.0,5.0,1.0,8.0,,,,,,,,,,,,
42,rating,42,7979722,398.9861,65535,20000.0,0.31100000000000005,42.0,45.0,4.0,4.0,4.0,3.0,,,,,,,,,,,,
43,rating,43,8155138,407.7569,65535,20000.0,0.31100000000000005,43.0,43.0,4.0,4.0,4.0,1.0,,,,,,,,,,,,
44,rating,44,8370744,418.5372,65535,20000.0,0.31100000000000005,44.0,21.0,3.0,3.0,1.0,21.0,,,,,,,,,,,,
45,rating,45,8550716,427.5358,65535,20000.0,0.31100000000000005,45.0,44.0,5.0,5.0,4.0,2.0,,,,,,,,,,,,
46,rating,46,8754721,437.73605,65535,20000.0,0.31100000000000005,46.0,3.0,2.0,2.0,1.0,3.0,,,,,,,,,,,,
47,rating,47,8923247,446.16235,65535,20000.0,0.31100000000000005,47.0,24.0,2.0,2.0,1.0,24.0,,,,,,,,,,,,
48,rating,48,9099667,454.98335,65535,20000.0,0.31100000000000005,48.0,27.0,2.0,2.0,2.0,3.0,,,,,,,,,,,,
49,rating,49,9270924,463.5462,65535,20000.0,0.31100000000000005,49.0,39.0,4.0,4.0,3.0,9.0,,,,,,,,,,,,
50,rating,50,9427800,471.39,65535,20000.0,0.31100000000000005,50.0,7.0,4.0,4.0,1.0,7.0,,,,,,,,,,,,
51,rating,51,9595675,479.78375,65535,20000.0,0.31100000000000005,51.0,49.0,2.0,2.0,4.0,7.0,,,,,,,,,,,,
52,rating,52,9777958,488.8979,65535,20000.0,0.31100000000000005,52.0,55.0,3.0,3.0,4.0,13.0,,,,,,,,,,,,
53,rating,53,10933063,546.65315,65535,20000.0,0.31100000000000005,53.0,19.0,2.0,2.0,1.0,19.0,,,,,,,,,,,,
54,rating,54,10987246,549.3623,65535,20000.0,0.31100000000000005,54.0,33.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,
55,rating,55,11059021,552.95105,65535,20000.0,0.31100000000000005,55.0,20.0,2.0,2.0,1.0,20.0,,,,,,,,,,,,
56,rating,56,11083418,554.1709,65535,20000.0,0.31100000000000005,56.0,34.0,3.0,3.0,3.0,4.0,,,,,,,,,,,,
57,free,1,11198085,559.90425,65535,20000.0,0.31100000000000005,,,,,,,1.0,54.0,0.0,2.4726641,3.0,16.0,0.0,4.0,3.0,3.0,4.0,0.0
58,free,2,11509457,575.47285,65535,20000.0,0.31100000000000005,,,,,,,2.0,71.0,0.0,3.0706798,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
59,free,3,11516213,575.81065,65535,20000.0,0.31100000000000005,,,,,,,3.0,51.0,0.0,0.7049114,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
60,free,4,11537781,576.88905,65535,20000.0,0.31100000000000005,,,,,,,4.0,75.0,0.0,5.2058724,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
61,free,5,11766656,588.3328,65535,20000.0,0.31100000000000005,,,,,,,5.0,81.0,1.0,15.3035681,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
62,free,6,11976988,598.8494,65535,20000.0,0.31100000000000005,,,,,,,6.0,38.0,0.0,0.8381639,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
