channel_1based,channel_0based,region,like_delta_hz,dislike_delta_hz,delta_diff_like_minus_dislike_hz,n_like_trials,n_dislike_trials
1,0,hippocampus,0.24965161844331554,0.2105263157894735,0.03912530265384204,16,19
2,1,hippocampus,-0.2600861289157209,0.06657658941465351,-0.3266627183303744,16,19
3,2,hippocampus,0.0,0.0,0.0,16,19
4,3,hippocampus,0.0,0.0,0.0,16,19
5,4,hippocampus,0.061381419268738545,0.06711769708884534,-0.005736277820106793,16,19
6,5,hippocampus,-0.20858620511451278,0.9302659375368812,-1.138852142651394,16,19
7,6,hippocampus,-0.07436038805587558,0.20037904791859415,-0.2747394359744697,16,19
8,7,hippocampus,0.0,0.0,0.0,16,19
9,8,hippocampus,0.0,0.0,0.0,16,19
10,9,hippocampus,0.09563210585812681,0.43570377402265276,-0.34007166816452594,16,19
11,10,hippocampus,-0.5891168651888024,0.6368936318191908,-1.226010497007993,16,19
12,11,hippocampus,0.0,0.0,0.0,16,19
13,12,hippocampus,0.0,0.052631578947368376,-0.052631578947368376,16,19
14,13,hippocampus,-0.025988443201711453,-0.11997095409411378,0.09398251089240232,16,19
15,14,hippocampus,-0.5057557160944229,-0.25924799279734273,-0.2465077232970802,16,19
16,15,hippocampus,0.0,0.0,0.0,16,19
17,16,amygdala,0.7558377138328822,-1.1345626634301131,1.8904003772629954,16,19
18,17,amygdala,0.28154175453730657,-0.015688777572155196,0.29723053210946176,16,19
19,18,amygdala,0.364115864459922,-0.1278244259700042,0.4919402904299262,16,19
20,19,amygdala,-0.10922229930896879,0.08118635754428338,-0.19040865685325217,16,19
21,20,amygdala,0.051022044773649154,-0.08107470438645276,0.13209674916010192,16,19
22,21,amygdala,-0.31542847481769276,0.6670435996371126,-0.9824720744548053,16,19
23,22,amygdala,0.4729056343574659,-0.15145955988800433,0.6243651942454702,16,19
24,23,amygdala,0.1284298037052163,-0.14295901920244314,0.2713888229076594,16,19
25,24,amygdala,-0.014763438083311514,0.0,-0.014763438083311514,16,19
26,25,amygdala,0.31421045984409757,-0.003025819508471151,0.3172362793525687,16,19
27,26,amygdala,-0.327260107149242,0.3417176720562967,-0.6689777792055387,16,19
28,27,amygdala,0.005994402027299329,0.06859898227024408,-0.06260458024294475,16,19
29,28,amygdala,0.06074037227476755,0.25248433708338563,-0.19174396480861808,16,19
30,29,amygdala,-0.1614887574587422,0.019331293012801332,-0.18082005047154354,16,19
31,30,amygdala,-0.9047700067296476,-0.1483270244624252,-0.7564429822672224,16,19
32,31,amygdala,0.0,0.0,0.0,16,19
33,32,amygdala,0.33736251368958325,-0.14188639080607543,0.4792489044956587,16,19
34,33,amygdala,-0.7491710589180504,0.004623896154386648,-0.753794955072437,16,19
35,34,amygdala,-0.41346828581928374,-0.06815727528236142,-0.3453110105369223,16,19
36,35,amygdala,-0.2786398819256059,-0.5006034139966479,0.22196353207104197,16,19
37,36,amygdala,-1.3874489582624712,0.5346611251453527,-1.9221100834078237,16,19
38,37,amygdala,0.0313589271833346,0.1693375813970627,-0.1379786542137281,16,19
39,38,amygdala,-0.4311752931350246,0.3153944808423205,-0.7465697739773451,16,19
40,39,amygdala,0.0,0.0,0.0,16,19
41,40,amygdala,0.33738926319412466,-0.07777649619892867,0.41516575939305334,16,19
42,41,amygdala,0.0022114231808126467,-0.2723448360570349,0.27455625923784754,16,19
43,42,amygdala,0.0,0.0,0.0,16,19
44,43,amygdala,-0.687131004312254,-0.2139428984367169,-0.47318810587553717,16,19
45,44,amygdala,-0.10642475430240997,-0.5296720183732709,0.423247264070861,16,19
46,45,amygdala,0.16092927271820062,0.15027618218158437,0.010653090536616255,16,19
47,46,amygdala,-1.1527609056358457,-0.5578781421897312,-0.5948827634461145,16,19
48,47,amygdala,-0.6127706574147669,0.6010260971976255,-1.2137967546123924,16,19
49,48,hippocampus,-0.2093404134660904,0.21351919548429577,-0.42285960895038616,16,19
50,49,hippocampus,-0.11433095779034017,0.224344126778125,-0.3386750845684652,16,19
51,50,hippocampus,-0.36796949164233017,-0.22346910265667266,-0.1445003889856575,16,19
52,51,hippocampus,0.053319900614882815,-0.41193817058709287,0.4652580712019757,16,19
53,52,hippocampus,0.0,0.0,0.0,16,19
54,53,hippocampus,-0.346983107058107,-0.34177709051219624,-0.005206016545910741,16,19
55,54,hippocampus,0.062499999999999944,0.04563989310096801,0.016860106899031932,16,19
56,55,hippocampus,0.12180938998401694,0.10526315789473677,0.016546232089280175,16,19
57,56,hippocampus,0.0,0.0,0.0,16,19
58,57,hippocampus,0.0,0.0,0.0,16,19
59,58,hippocampus,0.0,0.0,0.0,16,19
60,59,hippocampus,0.24583452536764644,-0.2995472470687285,0.545381772436375,16,19
61,60,hippocampus,0.06246108547339799,0.0023305619488001197,0.06013052352459787,16,19
62,61,hippocampus,0.0,0.0,0.0,16,19
63,62,hippocampus,0.1341048428750326,-0.1685442430483416,0.3026490859233742,16,19
64,63,hippocampus,-0.4091395512105609,0.032531973929815355,-0.4416715251403762,16,19
