Channel	SCS	MNI	World	ASEG	ASEG_prob	DKT	DKT_prob	Desikan-Killiany	Desikan-Killiany_prob	Destrieux	Destrieux_prob	mid_277045V:DKT	mid_277045V:Destrieux	mid_277045V:Desikan-Killiany	mid_277045V:Brodmann	mid_277045V:Brodmann-thresh	mid_277045V:vcAtlas	mid_15002V:DKT	mid_15002V:Destrieux	mid_15002V:Desikan-Killiany	mid_15002V:Brodmann	mid_15002V:Brodmann-thresh	mid_15002V:vcAtlas	cortex_277045V:DKT	cortex_277045V:Destrieux	cortex_277045V:Desikan-Killiany	cortex_277045V:Brodmann	cortex_277045V:Brodmann-thresh	cortex_277045V:vcAtlas	cortex_15002V:DKT	cortex_15002V:Destrieux	cortex_15002V:Desikan-Killiany	cortex_15002V:Brodmann	cortex_15002V:Brodmann-thresh	cortex_15002V:vcAtlas	cortex_cereb_17005V:DKT	cortex_cereb_17005V:Destrieux	cortex_cereb_17005V:Desikan-Killiany	cortex_cereb_17005V:Brodmann	cortex_cereb_17005V:Brodmann-thresh	cortex_cereb_17005V:vcAtlas	white_277045V:DKT	white_277045V:Destrieux	white_277045V:Desikan-Killiany	white_277045V:Brodmann	white_277045V:Brodmann-thresh	white_277045V:vcAtlas	white_15003V:DKT	white_15003V:Destrieux	white_15003V:Desikan-Killiany	white_15003V:Brodmann	white_15003V:Brodmann-thresh	white_15003V:vcAtlas
A-Amy-mTL1	[10.797,15.023,23.397]	[-15.369,-6.970,-21.586]	[-20.935,36.992,-9.948]	Amygdala L	99%	Amygdala L	99%	Amygdala L	99%	Amygdala L	99%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
A-Amy-mTL2	[11.472,18.454,23.243]	[-18.910,-6.258,-21.775]	[-24.385,37.579,-9.948]	Amygdala L	100%	Amygdala L	100%	Amygdala L	100%	Amygdala L	100%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
A-Amy-mTL3	[12.146,21.885,23.090]	[-22.450,-5.546,-21.964]	[-27.836,38.167,-9.948]	Amygdala L	100%	Amygdala L	100%	Amygdala L	100%	Amygdala L	100%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
A-Amy-mTL4	[12.821,25.316,22.936]	[-25.991,-4.834,-22.153]	[-31.286,38.754,-9.948]	Amygdala L	99%	Amygdala L	99%	Amygdala L	99%	Amygdala L	99%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
A-Amy-mTL5	[13.495,28.747,22.782]	[-29.531,-4.122,-22.342]	[-34.736,39.341,-9.948]	Amygdala L	53%	Amygdala L	53%	Amygdala L	53%	Amygdala L	53%	superiortemporal L	G_oc-temp_med-Parahip L	insula L	N/A	N/A	N/A	superiortemporal L	G_oc-temp_med-Parahip L	insula L	N/A	N/A	N/A	superiortemporal L	G_Ins_lg_and_S_cent_ins L	insula L	N/A	N/A	N/A	superiortemporal L	G_oc-temp_med-Parahip L	insula L	N/A	N/A	N/A	superiortemporal L	G_oc-temp_med-Parahip L	insula L	N/A	N/A	N/A	superiortemporal L	G_oc-temp_med-Parahip L	insula L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
A-Amy-mTL6	[14.170,32.178,22.628]	[-33.071,-3.410,-22.531]	[-38.187,39.928,-9.948]	White L	94%	White L	94%	White L	94%	White L	94%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	superiortemporal L	G_oc-temp_med-Parahip L	insula L	N/A	N/A	N/A	superiortemporal L	S_circular_insula_inf L	insula L	N/A	N/A	N/A
A-Amy-mTL7	[14.844,35.609,22.474]	[-36.612,-2.698,-22.720]	[-41.637,40.516,-9.948]	White L	82%	White L	82%	White L	82%	White L	82%	superiortemporal L	S_circular_insula_inf L	superiortemporal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	superiortemporal L	S_circular_insula_inf L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	S_circular_insula_inf L	superiortemporal L	N/A	N/A	N/A
A-Amy-mTL8	[15.519,39.040,22.321]	[-40.152,-1.986,-22.909]	[-45.088,41.103,-9.948]	White L	78%	White L	78%	White L	78%	White L	78%	superiortemporal L	S_temporal_sup L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	S_temporal_sup L	superiortemporal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	superiortemporal L	S_temporal_sup L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	S_temporal_sup L	superiortemporal L	N/A	N/A	N/A
A-Amy-mTL9	[16.193,42.471,22.167]	[-43.692,-1.274,-23.098]	[-48.538,41.690,-9.948]	Cortex L	85%	Superior temporal L	55%	Superior temporal L	47%	S_temporal_sup L	85%	superiortemporal L	S_temporal_sup L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	S_temporal_sup L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	S_temporal_sup L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	S_temporal_sup L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	S_temporal_sup L	superiortemporal L	N/A	N/A	N/A	superiortemporal L	S_temporal_sup L	superiortemporal L	N/A	N/A	N/A	middletemporal L	S_temporal_sup L	middletemporal L	N/A	N/A	N/A
A-Amy-mTL10	[16.868,45.901,22.013]	[-47.233,-0.562,-23.287]	[-51.988,42.278,-9.948]	Cortex L	56%	Middle temporal L	53%	Middle temporal L	54%	S_temporal_sup L	56%	middletemporal L	S_temporal_sup L	middletemporal L	N/A	N/A	N/A	middletemporal L	S_temporal_sup L	middletemporal L	N/A	N/A	N/A	middletemporal L	S_temporal_sup L	middletemporal L	N/A	N/A	N/A	middletemporal L	S_temporal_sup L	middletemporal L	N/A	N/A	N/A	middletemporal L	S_temporal_sup L	middletemporal L	N/A	N/A	N/A	middletemporal L	S_temporal_sup L	middletemporal L	N/A	N/A	N/A	middletemporal L	S_temporal_sup L	middletemporal L	N/A	N/A	N/A
