edfchannel	other_name	ASEG	ASEG_prob	DKT	DKT_prob	AAL3 (MNI-linear)	AAL3 (MNI-linear)_prob
A1	R-Amyg-MMa1	Amygdala R	97%	Amygdala R	97%	ParaHippocampal R	95%
A2	R-Amyg-MMa2	Amygdala R	100%	Amygdala R	100%	Hippocampus R	56%
A3	R-Amyg-MMa3	Amygdala R	100%	Amygdala R	100%	Hippocampus R	54%
A4	R-Amyg-MMa4	White R	57%	White R	57%	Amygdala R	70%
R10	R-Amyg-MMa5	White R	100%	White R	100%	Amygdala R	44%
R11	R-Amyg-MMa6	White R	100%	White R	100%		
B1	R-Hip-BF1	Hippocampus R	100%	Hippocampus R	100%	Hippocampus R	96%
B2	R-Hip-BF2	Hippocampus R	98%	Hippocampus R	98%	Hippocampus R	97%
B3	R-Hip-BF3	White R	65%	White R	65%	Hippocampus R	99%
B4	R-Hip-BF4	White R	100%	White R	100%	Hippocampus R	19%
B5	R-Hip-BF5	White R	100%	White R	100%	Temporal_Inf R	11%
B6	R-Hip-BF6	White R	88%	White R	88%	Temporal_Inf R	47%
B7	R-Hip-BF7	Cortex R	51%	Middle temporal R	51%	Temporal_Mid R	78%
B8	R-Hip-BF8	Cortex R	69%	Middle temporal R	69%	Temporal_Mid R	100%
C1	R-Cing-MMa1	Cortex R	71%	Scc R	39%	Olfactory R	72%
C2	R-Cing-MMa2	Cortex R	72%	Scc R	72%	ACC_sub R	44%
C3	R-Cing-MMa3	White R	76%	White R	76%	ACC_sub R	70%
C4	R-Cing-MMa4	White R	87%	White R	87%	ACC_sub R	59%
C5	R-Cing-MMa5	White R	69%	White R	69%	ACC_sup R	54%
C6	R-Cing-MMa6	Cortex R	78%	Superior frontal R	43%	ACC_pre R	96%
D1	R-LH-MMc1	Brainstem	42%	Brainstem R	42%	Thal_PuM R	27%
D2	R-LH-MMc2	Thalamus R	100%	Thalamus R	100%	Thal_PuM R	81%
D3	R-LH-MMc3	Thalamus R	100%	Thalamus R	100%	Thal_PuA R	44%
D4	R-LH-MMc4	Thalamus R	95%	Thalamus R	95%	Thal_VPL R	98%
D5	R-LH-MMc5	White R	99%	White R	99%	Thal_VPL R	1%
D6	R-LH-MMc6	White R	87%	White R	87%	Putamen R	5%
E1	L-Amyg-MMa1	Amygdala L	22%	Amygdala L	22%	ParaHippocampal L	72%
E2	L-Amyg-MMa2	Amygdala L	94%	Amygdala L	94%	Hippocampus L	58%
E3	L-Amyg-MMa3	Amygdala L	99%	Amygdala L	99%	Amygdala L	82%
E4	L-Amyg-MMa4	Amygdala L	76%	Amygdala L	76%	Amygdala L	100%
E5	L-Amyg-MMa5	White L	35%	White L	35%	Amygdala L	81%
E6	L-Amyg-MMa6	White L	62%	White L	62%	Temporal_Pole_Sup L	9%
